timestamp,src_ip,src_mac,dest_ip,dest_mac,username,http_method,url,http_status,bytes,user_agent,event_type,event_detail,severity,vt_indicator
2/1/2025 1:20,203.0.113.45,00:16:3e:aa:bb:cc,10.0.0.50,52:54:00:de:ad:be,-,GET,http://quiz.local/,200,1150,sqlmap/1.7.2#dev,web.recon,Homepage access,medium,
2/1/2025 1:20,203.0.113.45,00:16:3e:aa:bb:cc,10.0.0.50,52:54:00:de:ad:be,-,GET,http://quiz.local/robots.txt,200,120,curl/8.4.0,web.recon,robots.txt check,medium,
2/1/2025 1:20,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,GET,http://cdn.analytics.example/pixel.gif,304,6586,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.23,52:54:00:a1:b2:e5,10.0.0.50,52:54:00:de:ad:be,quiz-admin,GET,http://portal.local/tickets/submit,304,2090,sqlmap/1.7.2#dev,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,,POST,http://cdn.assets.example/styles/main.css,302,11174,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/124.0.0.0 Safari/537.36,web.browse,User browsing,low,
2/1/2025 1:21,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,GET,http://news.example.net/economy/weekly-outlook,200,13337,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Version/17.4 Safari/605.1.15,web.browse,User browsing,low,
2/1/2025 1:21,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,GET,http://cdn.assets.example/kit.js,200,1483,sqlmap/1.7.2#dev,web.browse,User browsing,low,
2/1/2025 1:21,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,frank,GET,http://media.example.org/video?id=777,200,2013,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Version/17.4 Safari/605.1.15,web.browse,User browsing,low,
2/1/2025 1:21,10.0.0.24,52:54:00:a1:b2:f6,10.0.0.50,52:54:00:de:ad:be,admin,POST,http://cdn.assets.example/kit.js,404,9673,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,web.browse,User browsing,low,
2/1/2025 1:21,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,GET,http://cdn.assets.example/kit.js,200,13002,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:21,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,admin,POST,http://portal.local/tickets/submit,200,13488,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:22,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,POST,http://cdn.analytics.example/pixel.gif,302,1394,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,GET,http://search.example.com/?q=cve-2024-3094,200,7500,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,203.0.113.45,00:16:3e:aa:bb:cc,10.0.0.50,52:54:00:de:ad:be,quiz-admin,PUT,http://quiz.local/api/update_answer?q7=3,200,820,curl/8.4.0,app.change,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,POST,http://search.example.com/?q=cve-2024-3094,200,7344,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Version/17.4 Safari/605.1.15,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,POST,http://portal.local/dashboard,200,3714,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Version/17.4 Safari/605.1.15,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,frank,GET,http://search.example.com/?q=best+study+methods,500,6720,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,POST,http://intranet.local/help,304,945,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/124.0.0.0 Safari/537.36,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,admin,POST,http://portal.local/dashboard,404,14619,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Version/17.4 Safari/605.1.15,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.23,52:54:00:a1:b2:e5,10.0.0.50,52:54:00:de:ad:be,quiz-admin,POST,http://portal.local/tickets/submit,404,2660,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,frank,GET,http://search.example.com/?q=cve-2024-3094,500,11671,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/124.0.0.0 Safari/537.36,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,POST,http://cdn.assets.example/styles/main.css,200,908,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.22,52:54:00:a1:b2:d4,10.0.0.50,52:54:00:de:ad:be,bob,GET,http://intranet.local/help,302,1156,sqlmap/1.7.2#dev,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.23,52:54:00:a1:b2:e5,10.0.0.50,52:54:00:de:ad:be,quiz-admin,GET,http://cdn.assets.example/styles/main.css,200,8587,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,frank,GET,http://portal.local/dashboard,200,2727,sqlmap/1.7.2#dev,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,frank,GET,http://portal.local/dashboard,200,13255,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.22,52:54:00:a1:b2:d4,10.0.0.50,52:54:00:de:ad:be,bob,GET,http://search.example.com/?q=owasp+top+10,500,7852,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,frank,GET,http://cdn.assets.example/styles/main.css,404,6084,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.22,52:54:00:a1:b2:d4,10.0.0.50,52:54:00:de:ad:be,bob,GET,http://media.example.org/video?id=777,302,10625,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.22,52:54:00:a1:b2:d4,10.0.0.50,52:54:00:de:ad:be,bob,GET,http://search.example.com/?q=best+study+methods,200,9311,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,POST,http://search.example.com/?q=best+study+methods,200,11450,sqlmap/1.7.2#dev,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.25,52:54:00:a1:b2:10,10.0.0.50,52:54:00:de:ad:be,erin,GET,http://portal.local/dashboard,200,1508,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/124.0.0.0 Safari/537.36,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.23,52:54:00:a1:b2:e5,10.0.0.50,52:54:00:de:ad:be,quiz-admin,POST,http://cdn.analytics.example/pixel.gif,200,302,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/123.0.0.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,POST,http://media.example.org/video?id=777,302,8853,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.22,52:54:00:a1:b2:d4,10.0.0.50,52:54:00:de:ad:be,bob,POST,http://news.example.net/economy/weekly-outlook,500,6387,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/124.0.0.0 Safari/537.36,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,GET,http://news.example.net/article/122,304,13421,sqlmap/1.7.2#dev,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.24,52:54:00:a1:b2:f6,10.0.0.50,52:54:00:de:ad:be,dave,GET,http://intranet.local/help,500,11353,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,GET,http://intranet.local/help,200,7146,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.22,52:54:00:a1:b2:d4,10.0.0.50,52:54:00:de:ad:be,bob,GET,http://search.example.com/?q=cve-2024-3094,404,8867,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.21,52:54:00:a1:b2:c3,10.0.0.50,52:54:00:de:ad:be,alice,GET,http://cdn.assets.example/styles/main.css,500,6309,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Version/17.4 Safari/605.1.15,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.23,52:54:00:a1:b2:e5,10.0.0.50,52:54:00:de:ad:be,quiz-admin,GET,http://cdn.analytics.example/pixel.gif,200,14976,curl/8.4.0,web.browse,User browsing,low,
2/1/2025 1:20,10.0.0.26,52:54:00:a1:b2:11,10.0.0.50,52:54:00:de:ad:be,admin,POST,http://news.example.net/economy/weekly-outlook,200,13421,sqlmap/1.7.2#dev,web.browse,User browsing,low,
